K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
300,123,140,76,39,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,20.73644135332772
300,124,145,130,94,,840,Beige Brown Medium,#9A7C5C,154,124,92,11.0
300,125,38,51,62,,939,Navy Blue Very Dark,#1B2853,27,40,83,26.13426869074396
300,126,247,211,165,,738,Tan Very Light,#ECCC9E,236,204,158,14.798648586948742
300,127,135,78,45,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,13.892443989449804
300,128,72,64,57,,3799,Pewter Gray Very Dark,#424242,66,66,66,11.0
300,129,52,98,114,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,7.54983443527075
300,130,122,144,119,,3022,Brown Gray Medium,#8E9078,142,144,120,20.024984394500787
300,131,106,117,103,,317,Pewter Gray,#6C6C6C,108,108,108,10.488088481701515
300,132,24,23,25,,3371,Black Brown,#1E1108,30,17,8,19.0
300,133,251,175,64,,741,Tangerine Medium,#FFA32B,255,163,43,24.515301344262525
300,134,246,219,188,,945,Tawny,#FBD5BB,251,213,187,7.874007874011811
300,135,106,83,64,,839,Beige Brown Dark,#675541,103,85,65,3.7416573867739413
300,136,223,141,62,,3853,Autumn Gold Dark,#F29746,242,151,70,22.9128784747792
300,137,175,92,39,,301,Mahogany Medium,#B35F2B,179,95,43,6.4031242374328485
300,138,46,45,45,,934,Avocado Grn Black,#313919,49,57,25,23.515952032609693
300,139,239,186,93,,3854,Autumn Gold Medium,#F2AF68,242,175,104,15.84297951775486
300,140,207,128,59,,3776,Mahogany Light,#CF7939,207,121,57,7.280109889280518
300,141,250,219,128,,743,Yellow Medium,#FED376,254,211,118,13.416407864998739
300,142,193,130,68,,976,Golden Brown Medium,#C28142,194,129,66,2.449489742783178
300,143,18,54,79,,820,Royal Blue Very Dark,#0E365C,14,54,92,13.601470508735444
300,144,221,164,126,,21,Alizarin Light,#D79982,215,153,130,13.152946437965905
300,145,228,192,98,,3820,Straw Dark,#DFB65F,223,182,95,11.575836902790225
300,146,254,247,190,,3078,Golden Yellow Very Light,#FDF9CD,253,249,205,15.165750888103101
300,147,68,67,66,,3799,Pewter Gray Very Dark,#424242,66,66,66,2.23606797749979
300,148,4,13,29,,310,Black,#000000,0,0,0,32.03123475609393
300,149,192,147,78,,832,Golden Olive,#BD9B51,189,155,81,9.055385138137417
